//[Description]
//Manufacturer=Lenovo
//Type=BL216
//Place=Santa Clara
//Person=AlexK
//Date=
//Equipment=
//[Parameters]
//DesignCapacity=3050
//Age=
//MinimalVoltage=3300
//MaximalVoltage=4300
//VoltageStep=
//Table 1 header: residual capacity lookup
8       //word length of header (including this length)
1       //control word
3       //number of axii
25       //'x' voltage axis entries
7       //'w' current axis entries
8       //'v' temp axis entries
1       //'y' axis entries per 'x' axis entries
3089     //Full Absolute Capacity

//[Data]
//'x' axis: voltage in mV
3300,3320,3360,3395,3435,3475,3505,3530,3555,3580,3600,3630,3655,3680,3720,3750,3780,3810,3840,3885,3935,3980,4015,4060,4300

//'w' axis: current in 100*C (minor axis of 2d lookup)
200,400,600,800,1000,1300,1586

//'v' axis: temperature (major axis of 2d lookup) in .1 degrees C
-70,-50,50,150,250,350,450,550

//capacity in 10000*C
//temp = -7.5 ^C

1476,1594,1869,2179,2602,3097,3444,3784,4124,4499,4797,5245,5581,5881,6359,6656,6950,7238,7525,7888,8287,8652,8907,9252,10000
2547,2768,3279,3784,4362,4942,5377,5678,6038,6333,6554,6912,7141,7421,7787,8016,8295,8568,8838,9173,9482,9690,9787,9859,10000
3773,4082,4621,5057,5586,6107,6509,6741,7042,7265,7467,7767,7981,8256,8642,8927,9200,9391,9555,9709,9817,9870,9898,10000,10000
5727,5961,6400,6770,7160,7545,7830,8040,8245,8440,8604,8833,9006,9167,9413,9563,9681,9773,9843,9924,9988,10000,10000,10000,10000
6914,7104,7475,7782,8113,8428,8675,8865,9034,9203,9320,9477,9585,9674,9777,9836,9885,9928,9968,9996,10000,10000,10000,10000,10000
8216,8361,8644,8880,9151,9397,9563,9654,9722,9771,9801,9846,9876,9906,9953,9981,9995,10000,10000,10000,10000,10000,10000,10000,10000
10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000

//temp = -5 ^C
1476,1594,1869,2179,2602,3097,3444,3784,4124,4499,4797,5245,5581,5881,6359,6656,6950,7238,7525,7888,8287,8652,8907,9252,10000
2547,2768,3279,3784,4362,4942,5377,5678,6038,6333,6554,6912,7141,7421,7787,8016,8295,8568,8838,9173,9482,9690,9787,9859,10000
3773,4082,4621,5057,5586,6107,6509,6741,7042,7265,7467,7767,7981,8256,8642,8927,9200,9391,9555,9709,9817,9870,9898,10000,10000
5727,5961,6400,6770,7160,7545,7830,8040,8245,8440,8604,8833,9006,9167,9413,9563,9681,9773,9843,9924,9988,10000,10000,10000,10000
